text,papers
سلام عليكم علية حكم غيابى سنة جنحة ضرب ومعاية مايسبت انى فى شغلى متوقع براء ولا استناف وشكرا,وينبغي للمحامي الاطلاع على جميع الوثائق والشهادات المتعلقة بالقضية للتأكد من وجود جدية في الرفع من الحكم الغيابي وتفضيل الاستئناف عن براءة المتهم.
من فضلكم لو انا مسافر خارج مصر وعايز اشتري شقه ينفع تتكتب بأسمي وانا مسافر,"نعم، يمكنك شراء شقة في مصر وتكتب باسمك حتى وإن كنت خارج مصر، ولكن يجب عليك اتخاذ بعض الإجراءات: 1- الحصول على رقم تعريف ضريبي في مصر."
اشتريت ارض وبنيت عليها وسكنت ومستقر ليا عشر سنواتاللي اشتريت منه الارض اخواته رفعو عليه قضيه ريع وبعدين فرز وتجنيب وبعتو اعلان لكل اشترى وبنا وانا واحد من ضمن ١٧ واحد باني ومستقرايه العمل وهل فيه ضرر علينا ولازم نحضر ولا مش لازم ارجو الافاده مع وافر شكري وتقديري,"من الأفضل أن تتواصل مع محامي لتقديم النصح القانوني اللازم في هذه الحالة، إلا أنه عادة ما يتم إرسال إشعار بالمحضر إلى جميع الأطراف المستفيدة من الأرض في المحكمة."
عايزه محامى او محاميه يكونو مش همهم بس الفلوس ولا بيبيعو الشخص للخصم قضايا اسره,"لذلك، يمكنك البحث عن محامي مختص في قضايا الأسرة عن طريق الأصدقاء الموثوق بهم، عبر الإنترنت أوعن طريق مكاتب الحقوق المدنية."
يوجد عقد ايجار قديم لشقه ملك والدي لسيده وتوفي والدي وتوفيت السيده منذ 5سنوات ولها اولاد متزوجون ولكن لها بنت لم تتزوج وهي في الشقه الان ولكنها علي فراش الموت والله اعلم واخاف بعد موتها أن يسكن في الشقه أحد من اخواتها المتزوجون فهل هناك تصرف قانوني الان لضمان حقي,ينبغي التنسيق مع قوات الأمن أو الشرطة المحلية لمساعدتهم في مراقبة و تأمين الشقة أثناء استكمال إجراءات القضية.
قضية ضرب افضى لموت ليه محامى المتوفى طالب من اهله اعلام وراثه؟؟,"إذا تم تحديد أن سبب الوفاة هو الضرب، فيمكن لأهل المتوفى التقدم بدعوى قضائية ضد الجاني بتهمة القتل وفقًا للقانون المعمول به في المنطقة التي وقعت فيها الجريمة."
انتبه - لو عندك مشكله ميراث مافيش غير الثلاث دعاوى الى شرحتها وطبعا تختار واحده بس منها تناسب حالتك مش المحامى يجرب فيك لان مازال بشوف الفتاوى برفع جنحه الامتناع عن تسليم ميراث رغم ان الحصه المطلوبه مشاع لكن المحامى بيفرح الموكل بيها ويقوله دى دعوى سريعه وهحبسهولك ولما يتحكم بالبراءه يقوله اصل القاضى مش فاهم ويرفع له فرز وتجنيب ويقوله الخبير هينزل يقسم وتاخد ميراثك وطبعا مش بتقبل القسمه ولما يتحكم بالمطالبه ويتخرب بيت الموكل بيستعوض ربنا فى الميراث رغم ان الحل كان ادامه الحل لو حصتك مشاع ومش هتقدرى على مصاريف الفرز وتجنيب والمطالبه الى بتخرب البيوت ترفعى دعوى مقابل انتفاع عن حصتك من تاريخ وفاه المورث وحتى استلامها تسليم فعلى- ياريت تشيروا لان حقوق ورثه كتير بتضيع بالطريقه دى,"والدعوى التي تقترحها تعتبر ذات أهمية كبيرة بالنسبة للمستحقين للميراث، وتحتاج إلى خبرة ومهارة المحامي لتوصيل حقوق الورثة الصحيحة والمشروعة بشكل أفضل."
سلام عليكم ارجو المساعده هل ينفع اروح المحكمه اعمل شهايد مخالصه بنفسي لأن المحامين طالبين مبالغ كبيره وانا حكايتي ع الله ارجو المساعده لو سمحتم,يمكنك التواصل مع الجمعيات الخيرية التي توفر خدمات المساعدة القانونية للمواطنين الذين لا يمتلكون القدرة المادية لتسديد أتعاب المحامين.
لو سمحتوا كنت عندى استشارة اخويا رافع قضية على اخوبا التانى استحواذ على ورث وطلع عليه غرامة 20000 وبيقول انه حياخدصورة الحكم ويرفع قضية حق مدنى كنت عايزة اعرف قضية الحق المدنى اا بتترفع بصورة الحكم بتاخدوقت اد ايه وفيها نقض ولا ايه وهل هو حيطلب تعويض ولو اخويا معهوش يدفع التعويض ايه اللى حيتم,للأسف لا يمكنني الإجابة على هذه الأسئلة لأنها تتطلب معلومات أكثر تفصيلاً حول الحالة والقانون المعمول به في البلد الخاص بك.
السلام عليكم ممكن استشاره دلوقت اناجوزي ٥سنين مبيشتغلش وانا كنت شغاله وبصرف والآخر زهقت وأطلقت عشان مبقتش قادره علي مصاريفه دلوقت انا مع الغلا مبقاش في بيع لان شغاله اونلاين وعايزه ارفع نفقه ودلوقتي الاب فاشل وعاطل اصلا بس الجد بياخدمعاش ٤الاف فهل ممكن اطالب الجد بالنفقه لان الاب معسر لان الاب عاطل مش بتاع شغل ولا ايه الحل اناعندي ٣اطفال لسه اكبرواحد ٦سنين,"بشكل عام ، توجد إجراءات قانونية يمكن اتخاذها لمطالبة الأب بالنفقة إذا لم يكن قادرًا على دفعها بصورة طبيعية."
السلام عليكم اشترينا شقه مازال عليها اقساط للمجلس اتفقنا مع صاحبها علي مهله شهر من تاريخ كتابه العقد وده موثق بالعقد كتبنا عقد خالص التمن وحاليا ف المحكمه بياخد صحة توقيع ماضي وباصم عليه ودفعنا نص المبلغ والنص التاني بوصل امانه علي معاد الخروج نستلم الوصل والشقه وهو ياخد باقي فلوسه لم يتم التنازل عن العدادات ف الشهر العقاري وكتبنا شرط جزائي ب٥٠الف حاليا هو بيقول مش لاقي شقه مناسبه وممكن نرجع ف البيع وملكوش غير الفلوس اللي دفعتوها ومفيش شرط جزائي ايه الإجراء القانوني معاه اللي يكون سريع ويضمن حقي,"أولاً، يجب على محاميك الرجوع إلى عقد البيع والشراء والتأكد من أن جميع شروط العقد تم تنفيذها بشكل صحيح من قبل الطرف الآخر."
لو واحدة فاتحة حضانة من غير ترخيص وجه بتاع الضرايب والتأ مينات بس هي قالتله لا انا بدي دروس وهو معندوش اي اثبات انها فاتحة حضانة مش معلقة يافطة ولا اي حاجة فكده ممكن يضرها ولا ايه الاجراءات اللي ممكن تعملها ؟,"في هذه الحالة، يمكن لصاحبة الحضانة القيام بالإجراءات القانونية اللازمة للحفاظ على حقوقها وحماية نشاطها."
"أختي رفعت استئناف في حكم اعتراض على إنذار طاعة ،،أي اللي ممكن يساعدنا قدام القاضي مع العلم انها قعدت شهرين بس،،وضربها لوحدها واحنا شوفنا العلامات في جسمها ولكن محضرناش الواقعة ،،وانه بيكسر في عفشها ،،وكان دائم التهديد لها بالطلاق ،،وانه ياخدها مكان محدش يعرفه ،،بدون عفش،،وعفوا عنده مرض العنه والشذ*ذ. عافانا الله وإياكم ،،ولكن اكتشفنا أن المحامي على تواصل بالخصم ،،ودا اللي خلانا وصلنا للاستئناف،،أرجو الإفادة أثابكم الله","- يمكن للمحامي الطلب من شقيقتك جمع الدلائل الأخرى التي قد تساعد في دعم حالتها، مثل الرسائل النصية أو البريد الإلكتروني."
"كنت رافع ايصال امانة جنحة ،،المتهم اخد ست شهور ،،لكن بالاستئناف اخد براءة بناء على تحريات انى كنت على خلاف مادى  مع اخوه الهارب وان المتهم وقع لجبر الضرر،،رفعت امر الزام بالمبلغ ،،اتحددت جلسة واتأجلت ،،وبعد التأجيل القاضى اجل للحكم ،،فهل الحكم يكون لصالحى بأذن الله  ام لا","ومن المهم أن تعمل على جمع الأدلة ووضع حجج قوية لدعم حقك في القضية، والاستعانة بمحام متخصص لتقديم أفضل حلول قانونية وفي مصلحتك."
السلام عليكم ورحمه الله وبركاتهاستفسار بعد اذن السادة المستشارين شخص. قدم في ايصال أمانة عملت استنىاف ومقدرتش احضر كنت محجوز في المستشفى فأنا قدامي معارضة استنئافية هل القاضي ممكن ياجلي لو حضرت انا والمحامي بتاعي للاطلاع وحضرت بشخصي ولا لا,ولكن عادة ما تقدم الأسباب التي تمنع حضورك في طلب تأجيل وعلى القاضي قرار تأجيل الجلسة أو عدم تأجيلها وفقًا للقوانين المحلية المعمول بها.
استفسار بخصوص قطعة أرض بعد حكم المحكمه وصحة التوقيع ما هي الخطوة التالية وما مدة استخراج العقد,"كما يجب التأكد من دفع جميع الرسوم المطلوبة والمصروفات المتعلقة بالعقد، وأن يتم استكمال جميع الإجراءات اللازمة لضمان سلامة الملكية وحقوق المالك."
السلام عليكم … عندي شقة اشتريتها من المقاول في الدور الارضي  … المفروض كان في اتفاق بين المقاول وصاحب الارض ان الدور الارضي الي شقتي فيه تبقي مناصفه بين المقاول وصاحب الارض بحيث لما المقاول يشطب الشقه ياخد توكيل ببيع الشقه … بعد لما المقاول باعلي وعملت صحة توكيل واستلمت الشقه وحطيت عفشي … لقيت صاحب الارض بيقولي المقاول ملوش حق يبيع ومش معاه توكيل وانا هاخد شقتي … المقاول رفع غليه قضيه عشان يديله التوكيل والقضيه لسه شغاله … دلوقتي صاحب الارض بيقولي روح اعمل محضر اثبات حالة ان انت مقيم في الشقه وانا هديك التوكيل مش عارف اعمل كده ولا هو كده بيحاول يلبس المقاول انه باع حاجة مش من حقه يبيعها ويبقي البيع بتاعي باطل … اسف للاطاله وبرجاء المساعده,"عليك الاتصال بمحامي مختص في قضايا عقود العقارات ليساعدك في هذه الحالة، فهو المختص في التعامل مع مثل هذه الأمور."
السلام عليكم عندي استفسار  لو سمحتم هو لو حد خد نسخه من اصل توكيل شقه  عشان الشراء ومش تم البيع ممكن يعمل اي لعب في الشهر العقاري بالتوكيلات دي من غيري,"وبالتالي، لا يمكنه القيام بأي لعب في الشهر العقاري بتوكيلات وهويات لم توثّق بشكل رسمي."
لو سمحت انا وصاحبى رافعين قضيه عل الشركه اللى كنا شغالين فيها هل ينفع يشهد معايا أن الشركه طردتنى,"ومع ذلك، يجب عليك التأكد من ان صاحبك ليس لديه اي انتماء او ارتباط قضائى او شخصى مع الشركة الخصمة وان توضح له المخاطر والتزاماته كشاهد."
السلام عليكم أنا اشتريت شقة وبعد ما عملت التوكيل والعقد لقيت البايع بيتصل ويقول إنه رفع دعوي صحة توقيع عليا ولو محضرتش الجلسة هابقي ملزمة بدفع 20 الف غرامة مذكورة في العقد اعمل ايه,"إذا كان هناك أي إشكال في التواقيع أو الوثائق التي تم استخدامها ، فيجب عليك التحقق من تلك الوثائق مع المحامي الخاص بك."
السلام عليكم. عميله كانت اخده مني جهاز ب إيصالات امانه كل إيصال 5  الاف جنيهاجمالي المبلغ 30 الفدفعت 3 إيصالات منهم ومخدتهمش ومفترض الرابع كان من 5 شهور ومن الاخر بلطجت علينا واستتطيبتنا وفهمت اننا مش هناذيها فمبقتش تدفع وتكنسل في وشنا كمان الايصالات ال 6 معايا طبعا فيهم اللي متسجل باسمها ورقمها القومي وعنوانها  وفيه اسمها وعنوانها فقط  بس كلهم هي موقعه عليهم وبصمه ومش عارف اتصرفالفكره لو رفعت الباقي ليا بس منا هدفع مبلغ للمحامي يمكن بتمن شيك منهم ولو رفعت 4 مثلا علي اساس الرابع يكون للمحامي او جزء منه هبقي كدا بظلمهاممكن الافاده من حضراتكم التصرف ازاي خصوصا ان لا عايز ااذيها وكمان المكان بتاع ايتام  وانا عمهم فمش عايز اهضم حقهمشكرا جزيلا,"إذا لم تستجيب العميلة ، فيجب عليك الاتصال بمحامي مختص لرفع الدعوى القضائية ضد العميلة وطلب الحقوق المستحقة."
تم الاتفاق على شراء العقار بالكامل وتم توقيع العقد ولكن صاحب العقار رافض تسليم العقار,"إذا تم توقيع العقد، فإنه يجب على صاحب العقار تسليم العقار لصاحب الشراء وهذا حق قانوني."
من فضلكم لو فى شقه ورث من الاب  فيها اكثر من وريث واحد الورثه عايز يشترى نصيب وريث منهم ويبقى ضم نصيبه ليه ايه الاجراءات القانونيه من فضلكم ؟ معانا اعلان الوراثه للاب ومعانا عقد الشقه التمليك باسمه,"في هذه الحالة، يمكن للورثة الذي يرغب في شراء نصيب وريث آخر التوصل إلى اتفاق مع الورثة الآخرين بشأن شراء النصيب المرغوب فيه."
سلام انا شريت على واحد مداير ارض تجزئة مزال موجدلوش عقود  الان رايح يبعث باش يخرجولو عقود يقدر يبعث ارض تاعي لي شريتها عليه باسمي يخرج عقد باسمي ولا لازم  حتى يخرجو عقود باسمو باش يكتبلي قطعة تاعي و شكرا,"في حالة عدم وجود السند باسمك، قد يكون من الأفضل لك الاتصال بمحامي للتحقق من الحالة القانونية والاستشارة حول الخطوات المطلوبة للحصول على العقد الرسمي باسمك."
لو سمحت احنا اشترينا شقه فى بيت قديم بس حاله البيت كانت تبدو كويسه جدا وعادى ودفعنا فلوسها كامله وجينا بنعمل تعديلات فيها السكان إلى فيها زعقوا وقالو أن البيت عليه حكم ترميم وأنه البيت محتاج عماويد وحاجات كتير وطبعا إلى اشترينا منه الشقه مقالش كل الكلام ده قبل مانشترى ولا فهمنا واخد الفلوس كلها وفعلا الشقه بالوضع ده متساويش المبلغ إلى اخده هل فى اى حل قانونى نرجع بيه فلوسنا أو حتى جزء منها بحيث نرمم البيت ولا نعمل ايه اتضحك علينا وخايفين نروح نعيش فيها ومالناش مكان غيرها وخايفين برضو يبيعها لحد تانى لانه معاه اصل العقد لأن الشقه ورث من اهله ومرضاش يدينا الأصل وادانا صور,يجب عليك الوصول إلى صور ووثائق وما إلى ذلك لتوثيق حالة المنزل كما كانت عند الشراء وتقديم هذه الوثائق للمحامي الخاص بك لمساعدتك في تقديم دعوى قانونية.
السلام عليك بعد اذن حضرتك ممكن إستشارة قانونية احنا حصلنا على قرار تمكين لشقة الزوجيه بمشاركة الزوج و التنفيذ عن قريبولكن وصلنا من الجيران ان الزوج قام بخلع جميع الابواب و الشبابيك و قطع الكهرباء و المياه عن الشقهكمان كسر بلاط الصاله بحجة توضيب الشقه و سابها كده علشان يقول انه بيعمل تجديد هل فيه إجراء قانوني ممكن اعمله . وللا خلاص كده أمر واقعوشكرا لحضرتك,"أولاً، يجب عليك الاطلاع على العقد الزواج وملكية الشقة وكذلك التركيب العام للعقار لمعرفة حقوقك وحقوق الزوج."
السلام عليكمقمت بعمل محضر إتلاف للجارة التي تقطن في الشقة التي تعلو شقتي بسبب تسرب الماء من سقف الحمام وذلك بعد استنفاد كل المحاولات السلمية لحل المشكلة وبعد أن تم حفظ المحضر مرتين لعدم الاستدلال على اسمها .. وبعد أن أحضرت الاسم والتقرير الفني لجهاز الشروق وقمت بعمل محضر جديد حكم القاضي عليها بغرامة 500 جنيه الان مازالت المشكلة قائمة لم تحل وقيل لي أن بامكاني رفع دعوى مدنية فكيف يمكنني رفع الدعوى وأمام أي محكمة علما باني تابعة لمدينة الشروق .. وكيف يمكنني إحضار نسخة رسمية من قرار القاضي وهل هذه الغرامة سيتم تحصيلها لصالحي ام لصالح من وكيف يمكنني صرفها لو كانت لصالحي مع خالص الشكر والتقدير,"فيما يتعلق بالغرامة، إذا صدر الحكم بأن الجارة تدفع غرامة مالية، فسيتم تحصيلها لصالحك ولا بد من إظهار الحكم الصادر للمكتب المختص لصرف المال."
واخد حكم إيصال امانه على شخص وعايز انفذ عليه الايصال ب تسعين الف لو حد ينفذ عليه وياخد 30 الف  بس الأتعاب بعد التنفيذ مكان الشخص وعنوانه معلوم,"أولاً، يجب إعداد الوثائق اللازمة لرفع الدعوى القضائية، ويتضمن ذلك: 1- الإيصال الذي تم إقراره وتوقيعه من قبل الشخص المسؤول عن دفع المبلغ."
هل لو عندي جنحة واخدة إيقاف تنفيذ لحين الفصل في النقض تمنع من السفر وتظهر في الفيش ؟,ويجب عليك الاستفسار من الجهات المختصة حول إمكانية السفر خلال فترة الإيقاف.
عندى مشكله بلطجه وعملت محضر وأخد جلسه وتعرضت على الطب الشرعى وميعاد جلسه طلبو اعاده الطب الشرعى وطلع عجز 5%وبعدين ميعاد جلسه والتقرير اترفق ايه الهيحصل بعد كده ارجو الافاده,"ويمكن للقاضي أن يصدر حكماً يقضي بتعويضك عن الأضرار التي لحقت بك بسبب الإصابة الناتجة عن البلطجة، وذلك على أساس تقرير الطب الشرعي والأدلة الأخرى التي تم جمعها."
سؤال اتمني السادة المحامين الافاضل يجوبني باجابة اكيدة اكن شاكر لهمدعوي اسره صدر بها حكم نهائي بالرفض في قائمة منقولات مزورة بالرد و البببطلان في تاريخ 10-12-2019  و منطوق حكم الاستئناف ان المحكمة لم تطمئن لشهادة الشهود المدعي و تحصلت علي ادلة جديدة تثبت الشهادة الزور هل لازال الفترة الزمنية للمدعي علية متاحة تحريك دعوي شهادة زور ضد شهود المدعي ؟و لو الفترة تسمح محتاج محامي من اسكندرية يرفعهالي,ويمكنك الحصول على محام من خلال جمعية المحامين في مدينة الإسكندرية.
صباح الخير  ممكن اعرف لو انا محكوملى بنفقه وعاوزه انفذ فى بنك ناصر لكن انا معيش صوره بطاقه الزوج اتصرف ازاى يا جماعه,"قد يطلب البنك منك بعض المستندات الأخرى كإثبات الدخل وغيرها، ويمكنك الحصول على هذه المستندات من الجهة التي حكم عليها بالنفقة."
استفسار لو سمحت لو عملت استئناف علي حكم محكمة القضاء الاداري في الادارية العليا بالقاهرة ..بخصوص قرار ترميم .يدوب قدمت  وااتقبل ولسة متحددش جلسة ولا اي شيءوبعدين العقار الصادر لة ترميم وقع جزء منة كبير والحي صدر لة قرار إزالة كدة الاستئناف اللي مقدماه مالوش لزمة لان فية قرار جديد وقرار إزالة زي منا عايزة مصير الاستئناف اية المحامي بيقول هنسيبها تتشطب هل دة صح لان خايفة تيجي عليا غرامى ..,"وعليه، ينبغي عليك اتخاذ خطوات فورية لتنفيذ القرار الصادر بإزالة العقار قبل أن يتم فرض غرامات عليك."
لو حد ماجر من الباطن ايجار قديمواكيد الشهود معاالمستاجر مش مع المالك ايه الوضع,"إذا كان الإيجار تم بين المستأجر والمالك الأصلي للعقار بموجب عقد وثيقة صحيحة ونظامية، فيكون الإيجار صحيح وقانوني."
"تزوير المستندات انواع التزوير التزوير المادي التصوير الفوتوغرافي:يتم تزوير المستندات بالتصوير الفوتوغرافي بعد أن يتم التزوير اولا في الاصل او في الصوره من الاصل ثم يعاد تصوير المستند المزور وقد يظهر التزوير بالمستند المزور وقد لا يظهر اذا كان التصوير متقنا وفي هذه الحاله يستحسن الرجوع لاصل المستند للمضاهاة والفحص.اساليب أخري للتزوير :وهناك اساليب اخري مثل التزوير علي بياض ،واختلاس التوقيعات ،التوقيعات الاعتبارية ،او الاكراه .#طبيب_شرعي#تزيف_وتزوير#خبير_طب_شرعي#كاس_العالم",من المهم ان تكون الاوراق المقدمة والحجج المطروحة قوية ومتينة لكي تساعد في اثبات الحقيقة وفي تحقيق العدالة.
وكيف يتم حق الشفعة واحنامش قرايب,ويمكن للمحامي توضيح حق الشفعة وحقوق القرايب واضعاً في الاعتبار قوانين ولوائح القضاء المعمول بها في بلدك وفقاً للاوراق المقدمة.
السلام عليكم لو سمحتم ممكن حد يجاوبني ضرورى إن شاء الله هشترى شقه من واحد مسافر وعامل توكيل لابوه ونا هشترى من الاب هل ينفع الاب يعملى توكيل بالشهر العقاري للبيع للنفس والغير والتعامل مع المرافق,"وعليكم السلام، نعم يمكن لوالدك عمل توكيل بالشهر العقاري للبيع للنفس والغير، وذلك يحتاج إلى تقديم طلب لدائرة الشؤون العقارية لإنشاء التوكيل."
بص حضرتك انا القضايا خلصانه ب النسبه للناس الي ليهم فلوس الي هما وصلين امانه تممم دلول خلصتهم بفلوسهم وقالو تابع مع المحامي الي هما رافعين علشان يتنازل عنك بس طالبين مبلغ واحد ٨٠٠وواحد عايز ١٠٠٠ ف بحكي مع حد قالي ينفع انت تروح المحكمه بنفسك تجيب شهايد مخالصه  وانا قلقان اروح اتحجز ارجو الافاده وشكرااقبل ادمن لو سمحت,ولكن إذا كنت غير متأكد من الخطوة التالية يمكنك زيارة مكتب محاماة والتشاور حول الإجراءات القانونية المناسبة والأسلوب الأفضل لانهاء الدعوى.
ما هي المده المحدده للسن الصغير لاجر المسكن ؟؟,"في المملكة العربية السعودية على سبيل المثال، فإنه لا يسمح بتأجير الوحدات السكنية لخريجي المدارس الثانوية دون بلوغ سن العشرين."
السلام عليكم انا مرفوع عليا ايصال امانة بقيمة 100 الف جنية  وصاحب الايصال لي عندي 10 الاف فقط وكلمني فى التليفون وسجلت مكلمة تثبت انه لي 10 الاف هل النيابة هتاخد بالتسجيل ولا لاه المحامي بتاعي بيقولي لاه وحاول تحل ودي,"أخيراً، يجب عليك الالتزام بقوانين القضاء والتعامل بصورة قانونية ودون انتهاك حقوق أي شخص آخر وترك الأمور للقضاء لاتخاذ القرار النهائي في هذه القضية."
واخد حكم غيابي ٣ سنين بسبب ٣ ايصال امانه الواحد ب٥٠٠ ومفيش ضامن معايا اتعاب المحاماه كام وهل لو صاحب الايصالات مش موافق بالصلح ليها حل,"إذا كان لديك حكم بالغياب، فيجب عليك أولاً الاتصال بمحامٍ للتأكد من المستندات المطلوبة لرفع طعن ضد الحكم وإعادة فتح القضية."
متهم حكم عليه (جنح مستأنف غيابى) بتعديل حكم البراءه لغرامه ٥٠٠جهل ليه اى طرق طعن تانى؟وهل المجنى عليه يقدر يحرك دعوى التعويض دلوقتى؟,"بالنسبة للمجني عليه، يمكنه رفع دعوى تعويض أمام المحاكم المختصة، ولكن يجب أن يكون لديه أدلة كافية لإثبات الأضرار التي لحقت به بسبب الجريمة المرتكبة ضده."
السلام عليكم بعد اذنكم ممكن استشاره جدتي ام بابا صعبه جدا وموذيه بكل الطرق سوري كانت بترمي ميه البول بتعاعها والقرف جمب باب الشقه وترمي حاجات مش نظيفه وراحت المركز اتبلت علي اخويا انه ضربها ومفيش شهود علي الكلام ده سوالي لو تكرمتوا في ضرر علي اخويا كده… See more,"يجب عليكم جمع جميع المستندات والأدلة التي تثبت الأضرار، بما في ذلك التقارير الطبية وشهادات الشهود إن وجدوا، بحيث يمكن للمحامي استخدامها كدليل قانوني في القضية."
رجل قام  بشراء شقة بحصة عقارية (مسجلة) باسم ابنه الوحيد فى ٢٠٠٥ رفع  الوالد وحضر كل الجلسات بنفسة دعوى (صحة ونفاذ) عقدة ضد وريث البائع الوحيد( الذى توفى قبل إقامة الدعوى) وأمام المحكمة الجزئية حكمت المحكمة بصحة ونفاذ العقد استأنف وريث البائع وحصل على حكم بطلان حكم محكمة اول درجة وصورية العقد ..ثم  أقام وريث البائع دعوى طرد ضد  المشترى الذى كان قد توفى والدة فى ٢٠١٧ ....وقدحصل الوريث على حكم طرد والزام فى ٢٤-١١ الماضى  ..الا ان المدعى عليه الذى صدر ضدة الحكم قد أقام دعوى جديدة ضد الوريث  بصحة ونفاذ عقد آخر مؤرخ عام ١٩٩٣ وباسم والدة (لنفس الشقة والحصة العقارية) وذلك عام ٢٠١٩   فحكمت المحكمة الجزئية( بصحة ونفاذة) فى ٢٧-١١ الماضى ايضاً!!!!!فأصبح هناك تعارض فى الأحكام ونحن الآن  بصدد القيام باستئناف حكم المحكمة الجزئية القاضى بصحة ونفاذ عقد ١٩٩٣..فما رأى الأساتذة فى هذة الموضوع وهل هناك دفوع قانونية ممكن ابداءها والبناء عليها  أمام الاستئناف..,"لذلك ، يجب عليك التوجه إلى محامي مختص في القانون العقاري في بلدك للمساعدة في تقييم الوضع وتزويدك بالنصائح اللازمة بناءً على الحقائق والأدلة المتاحة."
مساء الخير هل عقد محل حق انتفاع ينتيهي بموت المنتفع حتي لو كان العقد مكتوب فيه الي هلاك العقار,"لذلك، إذا كنت ترغب في تحديد الخيارات المتاحة لك، يجب أن تتواصل مع محامٍ ذو خبرة في القوانين المدنية والعقارية للحصول على النصيحة القانونية المناسبة."
