text,answer
انتبه - لو عندك مشكله ميراث مافيش غير الثلاث دعاوى الى شرحتها وطبعا تختار واحده بس منها تناسب حالتك مش المحامى يجرب فيك لان مازال بشوف الفتاوى برفع جنحه الامتناع عن تسليم ميراث رغم ان الحصه المطلوبه مشاع لكن المحامى بيفرح الموكل بيها ويقوله دى دعوى سريعه وهحبسهولك ولما يتحكم بالبراءه يقوله اصل القاضى مش فاهم ويرفع له فرز وتجنيب ويقوله الخبير هينزل يقسم وتاخد ميراثك وطبعا مش بتقبل القسمه ولما يتحكم بالمطالبه ويتخرب بيت الموكل بيستعوض ربنا فى الميراث رغم ان الحل كان ادامه الحل لو حصتك مشاع ومش هتقدرى على مصاريف الفرز وتجنيب والمطالبه الى بتخرب البيوت ترفعى دعوى مقابل انتفاع عن حصتك من تاريخ وفاه المورث وحتى استلامها تسليم فعلى- ياريت تشيروا لان حقوق ورثه كتير بتضيع بالطريقه دى,يجب على الورثة الحرص على التوجه إلى محام مختص في مثل هذه الحالات ليقوم بدراسة الحالة بدقة وتحديد الإجراء القانوني المناسب والأقل تكلفة لحفظ حقوق الورثة بأسرع وقت ممكن.
سلام عليكم ارجو المساعده هل ينفع اروح المحكمه اعمل شهايد مخالصه بنفسي لأن المحامين طالبين مبالغ كبيره وانا حكايتي ع الله ارجو المساعده لو سمحتم,"ولكن يجب الأخذ في الاعتبار أن الأمور القانونية تحتاج إلى معرفة وخبرة في القانون، ولا يمكن الاعتماد على المساعدة الفنية فقط."
سلام عليكم احنا عندنا بيت جدتى ام امى وتوفت وخالتى عايزه تبيع البيت ومش عارفين نعمل معاها ايه وامى متوفيه هى عايزه البطايق بتاعتى انا واخواتي ايه الضرر من الموضوع ده وازاى نضمن حقنا,"عمومًا، ينصح بالحفاظ على الوثائق والأوراق الرسمية المتعلقة بالبيت والحقوق الشخصية في مكان آمن وتأكد من أنها سهلة الوصول إليها عند الحاجة."
لو سمحتوا كنت عندى استشارة اخويا رافع قضية على اخوبا التانى استحواذ على ورث وطلع عليه غرامة 20000 وبيقول انه حياخدصورة الحكم ويرفع قضية حق مدنى كنت عايزة اعرف قضية الحق المدنى اا بتترفع بصورة الحكم بتاخدوقت اد ايه وفيها نقض ولا ايه وهل هو حيطلب تعويض ولو اخويا معهوش يدفع التعويض ايه اللى حيتم,إذا تم إصدار حكم بالصالح له في الدعوى وتم رفع دعوى قانونية بطلب تعويض فسيتعين على الخصم دفع التعويض المحكوم به في حكم المحكمة.
السلام عليكم ممكن استشاره دلوقت اناجوزي ٥سنين مبيشتغلش وانا كنت شغاله وبصرف والآخر زهقت وأطلقت عشان مبقتش قادره علي مصاريفه دلوقت انا مع الغلا مبقاش في بيع لان شغاله اونلاين وعايزه ارفع نفقه ودلوقتي الاب فاشل وعاطل اصلا بس الجد بياخدمعاش ٤الاف فهل ممكن اطالب الجد بالنفقه لان الاب معسر لان الاب عاطل مش بتاع شغل ولا ايه الحل اناعندي ٣اطفال لسه اكبرواحد ٦سنين,والنفقة هي حق يتمتع به الأبناء على والديهم ويتم من خلاله توفير المعيشة والملبس والسكن والرعاية الطبية والتعليمية وكل ما يحتاج إليه الأولاد للعيش بكرامة.
السلام عليكم اشترينا شقه مازال عليها اقساط للمجلس اتفقنا مع صاحبها علي مهله شهر من تاريخ كتابه العقد وده موثق بالعقد كتبنا عقد خالص التمن وحاليا ف المحكمه بياخد صحة توقيع ماضي وباصم عليه ودفعنا نص المبلغ والنص التاني بوصل امانه علي معاد الخروج نستلم الوصل والشقه وهو ياخد باقي فلوسه لم يتم التنازل عن العدادات ف الشهر العقاري وكتبنا شرط جزائي ب٥٠الف حاليا هو بيقول مش لاقي شقه مناسبه وممكن نرجع ف البيع وملكوش غير الفلوس اللي دفعتوها ومفيش شرط جزائي ايه الإجراء القانوني معاه اللي يكون سريع ويضمن حقي,"إذا كان الطرف المالك يتراجع عن التنازل عن الشقة، عليك الاستعانة بمحامي لرفع دعوى قضائية للمطالبة بحقوقك والمطالبة بتعويض الخسائر المادية التي تعرضت لها."
لو واحدة فاتحة حضانة من غير ترخيص وجه بتاع الضرايب والتأ مينات بس هي قالتله لا انا بدي دروس وهو معندوش اي اثبات انها فاتحة حضانة مش معلقة يافطة ولا اي حاجة فكده ممكن يضرها ولا ايه الاجراءات اللي ممكن تعملها ؟,"إذا كانت ترغب في تشغيل حضانة، ينبغي الحصول على التراخيص والتصاريح اللازمة من الجهات المختصة، وإتباع كل أنظمة السلامة والصحة المهنية الضرورية لتشغيل مثل هذا النوع من الأعمال."
"أختي رفعت استئناف في حكم اعتراض على إنذار طاعة ،،أي اللي ممكن يساعدنا قدام القاضي مع العلم انها قعدت شهرين بس،،وضربها لوحدها واحنا شوفنا العلامات في جسمها ولكن محضرناش الواقعة ،،وانه بيكسر في عفشها ،،وكان دائم التهديد لها بالطلاق ،،وانه ياخدها مكان محدش يعرفه ،،بدون عفش،،وعفوا عنده مرض العنه والشذ*ذ. عافانا الله وإياكم ،،ولكن اكتشفنا أن المحامي على تواصل بالخصم ،،ودا اللي خلانا وصلنا للاستئناف،،أرجو الإفادة أثابكم الله","أولاً، يجب عليكم تقديم الأدلة والشهادات التي تثبت ما ذكرتمه في استئنافكم، ومن أهمها الصور التي توضح آثار الضرب على جسم أختكم، وإذا كانت هناك شهوداً فعليكم إحضارهم أيضاً."
"كنت رافع ايصال امانة جنحة ،،المتهم اخد ست شهور ،،لكن بالاستئناف اخد براءة بناء على تحريات انى كنت على خلاف مادى  مع اخوه الهارب وان المتهم وقع لجبر الضرر،،رفعت امر الزام بالمبلغ ،،اتحددت جلسة واتأجلت ،،وبعد التأجيل القاضى اجل للحكم ،،فهل الحكم يكون لصالحى بأذن الله  ام لا","ولذلك فهو خارج نطاق توقع أي محامي في الحالة الراهنة، وعليك الانتظار حتى يتم إصدار الحكم النهائي في القضية."
السلام عليكم ورحمه الله وبركاتهاستفسار بعد اذن السادة المستشارين شخص. قدم في ايصال أمانة عملت استنىاف ومقدرتش احضر كنت محجوز في المستشفى فأنا قدامي معارضة استنئافية هل القاضي ممكن ياجلي لو حضرت انا والمحامي بتاعي للاطلاع وحضرت بشخصي ولا لا,ولكن عليك مراجعة محاميك بشأن كيفية التعامل مع هذه المسألة للوصول إلى أفضل النتائج الممكنة.
استفسار بخصوص قطعة أرض بعد حكم المحكمه وصحة التوقيع ما هي الخطوة التالية وما مدة استخراج العقد,"يمكن أن يختلف وقت إصدار العقد من منطقة إلى أخرى، ولكن في العادة يستغرق إصدار العقد حوالي 30 إلى 60 يومًا بعد استيفاء جميع الشروط المطلوبة."
السلام عليكم … عندي شقة اشتريتها من المقاول في الدور الارضي  … المفروض كان في اتفاق بين المقاول وصاحب الارض ان الدور الارضي الي شقتي فيه تبقي مناصفه بين المقاول وصاحب الارض بحيث لما المقاول يشطب الشقه ياخد توكيل ببيع الشقه … بعد لما المقاول باعلي وعملت صحة توكيل واستلمت الشقه وحطيت عفشي … لقيت صاحب الارض بيقولي المقاول ملوش حق يبيع ومش معاه توكيل وانا هاخد شقتي … المقاول رفع غليه قضيه عشان يديله التوكيل والقضيه لسه شغاله … دلوقتي صاحب الارض بيقولي روح اعمل محضر اثبات حالة ان انت مقيم في الشقه وانا هديك التوكيل مش عارف اعمل كده ولا هو كده بيحاول يلبس المقاول انه باع حاجة مش من حقه يبيعها ويبقي البيع بتاعي باطل … اسف للاطاله وبرجاء المساعده,"وإذا تبين أن المقاول يملك الحق في بيع الشقة بناءً على الاتفاق المبرم بينه وصاحب الأرض، فيجب على صاحب الأرض تسليم التوكيل للمقاول لإتمام عملية البيع."
السلام عليكم عندي استفسار  لو سمحتم هو لو حد خد نسخه من اصل توكيل شقه  عشان الشراء ومش تم البيع ممكن يعمل اي لعب في الشهر العقاري بالتوكيلات دي من غيري,"وفي حالة وجود أي شكوك، أو عدم الثقة بأي وكيل، يجب الاتصال بالمحامي الخاص بك والتوجه مباشرة إلى الشهر العقاري للتحقق من صحة التوكيل المقدم."
لو سمحت انا وصاحبى رافعين قضيه عل الشركه اللى كنا شغالين فيها هل ينفع يشهد معايا أن الشركه طردتنى,يمكن لمحاميكما تزويدكما بالمزيد من التفاصيل حول حقوقكما وما إذا كان طلبكما لديه أساس قانوني قوي.
السلام عليكم أنا اشتريت شقة وبعد ما عملت التوكيل والعقد لقيت البايع بيتصل ويقول إنه رفع دعوي صحة توقيع عليا ولو محضرتش الجلسة هابقي ملزمة بدفع 20 الف غرامة مذكورة في العقد اعمل ايه,"عليك أيضاً إعداد كافة الأدلة المتاحة لإثبات صحة توقيعك على العقد، مثل شهادة توقيع من مكتب الشهر العقاري."
السلام عليكم. عميله كانت اخده مني جهاز ب إيصالات امانه كل إيصال 5  الاف جنيهاجمالي المبلغ 30 الفدفعت 3 إيصالات منهم ومخدتهمش ومفترض الرابع كان من 5 شهور ومن الاخر بلطجت علينا واستتطيبتنا وفهمت اننا مش هناذيها فمبقتش تدفع وتكنسل في وشنا كمان الايصالات ال 6 معايا طبعا فيهم اللي متسجل باسمها ورقمها القومي وعنوانها  وفيه اسمها وعنوانها فقط  بس كلهم هي موقعه عليهم وبصمه ومش عارف اتصرفالفكره لو رفعت الباقي ليا بس منا هدفع مبلغ للمحامي يمكن بتمن شيك منهم ولو رفعت 4 مثلا علي اساس الرابع يكون للمحامي او جزء منه هبقي كدا بظلمهاممكن الافاده من حضراتكم التصرف ازاي خصوصا ان لا عايز ااذيها وكمان المكان بتاع ايتام  وانا عمهم فمش عايز اهضم حقهمشكرا جزيلا,"يجب عليك الحرص على أن تقوم بإجراءات الدعوى القضائية بطريقة سليمة ومن خلال محامي متخصص، لضمان التحقيق الناجح للمسألة، وحماية مصالح الأطراف المعنية في المسألة."
تم الاتفاق على شراء العقار بالكامل وتم توقيع العقد ولكن صاحب العقار رافض تسليم العقار,"إذا تم توقيع العقد والتزام الجانبين باتمام الصفقة ، فإن صاحب العقار ليس لديه الحق في رفض تسليم العقار."
من فضلكم لو فى شقه ورث من الاب  فيها اكثر من وريث واحد الورثه عايز يشترى نصيب وريث منهم ويبقى ضم نصيبه ليه ايه الاجراءات القانونيه من فضلكم ؟ معانا اعلان الوراثه للاب ومعانا عقد الشقه التمليك باسمه,لا يمكن لأي شخص شراء نصيب وريث من العقار إلا بعد الحصول على موافقة جميع الورثة المشاركين في العقار أو الحصول على قرار قضائي يأذن بذلك.
سلام انا شريت على واحد مداير ارض تجزئة مزال موجدلوش عقود  الان رايح يبعث باش يخرجولو عقود يقدر يبعث ارض تاعي لي شريتها عليه باسمي يخرج عقد باسمي ولا لازم  حتى يخرجو عقود باسمو باش يكتبلي قطعة تاعي و شكرا,يمكن أن يساعد المحامي على تحديد الخطوات التي يتعين اتخاذها للحصول على العقود اللازمة للتوثيق الرسمي للبيع والتسجيل القانوني للأرض باسمك.
لو سمحت احنا اشترينا شقه فى بيت قديم بس حاله البيت كانت تبدو كويسه جدا وعادى ودفعنا فلوسها كامله وجينا بنعمل تعديلات فيها السكان إلى فيها زعقوا وقالو أن البيت عليه حكم ترميم وأنه البيت محتاج عماويد وحاجات كتير وطبعا إلى اشترينا منه الشقه مقالش كل الكلام ده قبل مانشترى ولا فهمنا واخد الفلوس كلها وفعلا الشقه بالوضع ده متساويش المبلغ إلى اخده هل فى اى حل قانونى نرجع بيه فلوسنا أو حتى جزء منها بحيث نرمم البيت ولا نعمل ايه اتضحك علينا وخايفين نروح نعيش فيها ومالناش مكان غيرها وخايفين برضو يبيعها لحد تانى لانه معاه اصل العقد لأن الشقه ورث من اهله ومرضاش يدينا الأصل وادانا صور,"ومع ذلك، يجب أن تعلم أن الأمر يمكن أن يكون صعبًا في بعض الأحيان لإثبات عدم التزام البائع بواجباته وربما يستغرق الأمر وقتًا طويلاً."
السلام عليك بعد اذن حضرتك ممكن إستشارة قانونية احنا حصلنا على قرار تمكين لشقة الزوجيه بمشاركة الزوج و التنفيذ عن قريبولكن وصلنا من الجيران ان الزوج قام بخلع جميع الابواب و الشبابيك و قطع الكهرباء و المياه عن الشقهكمان كسر بلاط الصاله بحجة توضيب الشقه و سابها كده علشان يقول انه بيعمل تجديد هل فيه إجراء قانوني ممكن اعمله . وللا خلاص كده أمر واقعوشكرا لحضرتك,كما أن أي تعدي على الممتلكات العامة في الشقة سواء كانت بإزالة الأبواب والشبابيك أو بسبب أي سبب آخر يعد جريمة وفعل غير قانوني.
السلام عليكمقمت بعمل محضر إتلاف للجارة التي تقطن في الشقة التي تعلو شقتي بسبب تسرب الماء من سقف الحمام وذلك بعد استنفاد كل المحاولات السلمية لحل المشكلة وبعد أن تم حفظ المحضر مرتين لعدم الاستدلال على اسمها .. وبعد أن أحضرت الاسم والتقرير الفني لجهاز الشروق وقمت بعمل محضر جديد حكم القاضي عليها بغرامة 500 جنيه الان مازالت المشكلة قائمة لم تحل وقيل لي أن بامكاني رفع دعوى مدنية فكيف يمكنني رفع الدعوى وأمام أي محكمة علما باني تابعة لمدينة الشروق .. وكيف يمكنني إحضار نسخة رسمية من قرار القاضي وهل هذه الغرامة سيتم تحصيلها لصالحي ام لصالح من وكيف يمكنني صرفها لو كانت لصالحي مع خالص الشكر والتقدير,"وعليكم السلام ورحمة الله وبركاته، يمكنك رفع دعوى مدنية للمطالبة بتعويض عن الأضرار التي لحقت بك بسبب تسرب الماء وعدم تجاوب الجارة في إصلاح المشكلة."
واخد حكم إيصال امانه على شخص وعايز انفذ عليه الايصال ب تسعين الف لو حد ينفذ عليه وياخد 30 الف  بس الأتعاب بعد التنفيذ مكان الشخص وعنوانه معلوم,"ومن المهم الإشارة إلى أن الأتعاب يتم تحديدها بناءً على اتفاق أو تشريع محلي، ولكن لا يوجد مقدار محدد أو نسبة ثابتة للأتعاب في حالة تنفيذ حكم إيصال أمانة."
هل لو عندي جنحة واخدة إيقاف تنفيذ لحين الفصل في النقض تمنع من السفر وتظهر في الفيش ؟,"ومع ذلك، إذا كان هناك قراراً بحظر السفر صدر عليك من السلطات، فستمنع من السفر حتى لو لم تكن هناك إيقاف تنفيذ."
عندى مشكله بلطجه وعملت محضر وأخد جلسه وتعرضت على الطب الشرعى وميعاد جلسه طلبو اعاده الطب الشرعى وطلع عجز 5%وبعدين ميعاد جلسه والتقرير اترفق ايه الهيحصل بعد كده ارجو الافاده,"إذا كان التقرير الطبي أثبت وجود إصابة نتيجة اللطجة، فإنه يمكن أن يتم الاستناد إلى هذا التقرير في المحكمة لتحقيق العدالة والتعويض عن الأضرار المادية والمعنوية التي تعرضت لها."
سؤال اتمني السادة المحامين الافاضل يجوبني باجابة اكيدة اكن شاكر لهمدعوي اسره صدر بها حكم نهائي بالرفض في قائمة منقولات مزورة بالرد و البببطلان في تاريخ 10-12-2019  و منطوق حكم الاستئناف ان المحكمة لم تطمئن لشهادة الشهود المدعي و تحصلت علي ادلة جديدة تثبت الشهادة الزور هل لازال الفترة الزمنية للمدعي علية متاحة تحريك دعوي شهادة زور ضد شهود المدعي ؟و لو الفترة تسمح محتاج محامي من اسكندرية يرفعهالي,إذا كان قد صدر حكم نهائي بالرفض في دعوى قائمة منقولات مزورة فلا يمكن تقديم دعوى جديدة بنفس الطلب على أساس تحريك دعوى ضد الشهود المدعين.
صباح الخير  ممكن اعرف لو انا محكوملى بنفقه وعاوزه انفذ فى بنك ناصر لكن انا معيش صوره بطاقه الزوج اتصرف ازاى يا جماعه,"في حال كانت لديكِ أي إستفسارات أخرى، يرجى التواصل مع محامي قانون الأسرة."
"تزوير المستندات انواع التزوير التزوير المادي التصوير الفوتوغرافي:يتم تزوير المستندات بالتصوير الفوتوغرافي بعد أن يتم التزوير اولا في الاصل او في الصوره من الاصل ثم يعاد تصوير المستند المزور وقد يظهر التزوير بالمستند المزور وقد لا يظهر اذا كان التصوير متقنا وفي هذه الحاله يستحسن الرجوع لاصل المستند للمضاهاة والفحص.اساليب أخري للتزوير :وهناك اساليب اخري مثل التزوير علي بياض ،واختلاس التوقيعات ،التوقيعات الاعتبارية ،او الاكراه .#طبيب_شرعي#تزيف_وتزوير#خبير_طب_شرعي#كاس_العالم","شكراً على هذه المعلومات القيمة، فعلاً تزوير المستندات يمكن أن يتم بأكثر من طريقة، ويجب توخي الحذر وعدم الاعتماد فقط على النسخ المصورة من المستندات."
وكيف يتم حق الشفعة واحنامش قرايب,"حق الشفعة يعني حق المحامي أو المستشار القانوني للمتهم أو المدعى عليه، للمرافعة نيابة عنه أمام المحكمة."
السلام عليكم لو سمحتم ممكن حد يجاوبني ضرورى إن شاء الله هشترى شقه من واحد مسافر وعامل توكيل لابوه ونا هشترى من الاب هل ينفع الاب يعملى توكيل بالشهر العقاري للبيع للنفس والغير والتعامل مع المرافق,يجب التأكد من صحة واعتماد التوكيل من الجهات المختصة والتأكد من الموافقة على شروط البيع والتحقق من صحة الملكية والإلتزامات القانونية الملحقة بالشقة والعقار.
بص حضرتك انا القضايا خلصانه ب النسبه للناس الي ليهم فلوس الي هما وصلين امانه تممم دلول خلصتهم بفلوسهم وقالو تابع مع المحامي الي هما رافعين علشان يتنازل عنك بس طالبين مبلغ واحد ٨٠٠وواحد عايز ١٠٠٠ ف بحكي مع حد قالي ينفع انت تروح المحكمه بنفسك تجيب شهايد مخالصه  وانا قلقان اروح اتحجز ارجو الافاده وشكرااقبل ادمن لو سمحت,"أما بالنسبة لشهادات المخالصة التي تذكرها فهي وثائق تثبت التسوية وتسليم المال، ويمكنك الحصول عليها من الأشخاص الذين لديهم فلوس بعد تحريهم والاتصال بهم."
ما هي المده المحدده للسن الصغير لاجر المسكن ؟؟,"في بعض الدول ، تكون المدة المحددة 18 عامًا ، في حين يتم تحديدها في بعض الدول عند بلوغ سن 21 عامًا."
السلام عليكم انا مرفوع عليا ايصال امانة بقيمة 100 الف جنية  وصاحب الايصال لي عندي 10 الاف فقط وكلمني فى التليفون وسجلت مكلمة تثبت انه لي 10 الاف هل النيابة هتاخد بالتسجيل ولا لاه المحامي بتاعي بيقولي لاه وحاول تحل ودي,لهذا فيجب الاستعانة بمحامٍ متخصص لتقييم هذا الأمر بشكل أفضل.
واخد حكم غيابي ٣ سنين بسبب ٣ ايصال امانه الواحد ب٥٠٠ ومفيش ضامن معايا اتعاب المحاماه كام وهل لو صاحب الايصالات مش موافق بالصلح ليها حل,"بالنسبة لأتعاب المحاماة، يمكن للمحامي الذي عمل على القضية تحديد قيمة الرسوم اللازمة للعمل على تقديم صك صلح، فيمكنك التفاوض معه بشأن قيمة أتعابه."
متهم حكم عليه (جنح مستأنف غيابى) بتعديل حكم البراءه لغرامه ٥٠٠جهل ليه اى طرق طعن تانى؟وهل المجنى عليه يقدر يحرك دعوى التعويض دلوقتى؟,"ويمكن للمجني عليه أيضًا تقديم دعوى تعويض أمام المحكمة المختصة، بشرط أن يكون تم تحديد مبلغ التعويض من قبل هيئة الحكم الصادرة في القضية."
السلام عليكم بعد اذنكم ممكن استشاره جدتي ام بابا صعبه جدا وموذيه بكل الطرق سوري كانت بترمي ميه البول بتعاعها والقرف جمب باب الشقه وترمي حاجات مش نظيفه وراحت المركز اتبلت علي اخويا انه ضربها ومفيش شهود علي الكلام ده سوالي لو تكرمتوا في ضرر علي اخويا كده… See more,"إذا كنت بحاجة إلى مساعدة قانونية، فأنصحك بالتوجه إلى محامٍ محترف للاستشارة والمساعدة."
رجل قام  بشراء شقة بحصة عقارية (مسجلة) باسم ابنه الوحيد فى ٢٠٠٥ رفع  الوالد وحضر كل الجلسات بنفسة دعوى (صحة ونفاذ) عقدة ضد وريث البائع الوحيد( الذى توفى قبل إقامة الدعوى) وأمام المحكمة الجزئية حكمت المحكمة بصحة ونفاذ العقد استأنف وريث البائع وحصل على حكم بطلان حكم محكمة اول درجة وصورية العقد ..ثم  أقام وريث البائع دعوى طرد ضد  المشترى الذى كان قد توفى والدة فى ٢٠١٧ ....وقدحصل الوريث على حكم طرد والزام فى ٢٤-١١ الماضى  ..الا ان المدعى عليه الذى صدر ضدة الحكم قد أقام دعوى جديدة ضد الوريث  بصحة ونفاذ عقد آخر مؤرخ عام ١٩٩٣ وباسم والدة (لنفس الشقة والحصة العقارية) وذلك عام ٢٠١٩   فحكمت المحكمة الجزئية( بصحة ونفاذة) فى ٢٧-١١ الماضى ايضاً!!!!!فأصبح هناك تعارض فى الأحكام ونحن الآن  بصدد القيام باستئناف حكم المحكمة الجزئية القاضى بصحة ونفاذ عقد ١٩٩٣..فما رأى الأساتذة فى هذة الموضوع وهل هناك دفوع قانونية ممكن ابداءها والبناء عليها  أمام الاستئناف..,ويمكن أيضًا الاعتماد على الحكم السابق الذي صدر في صالح المشتري ويطيح بصحة ونفاذ الحكم الأخير الصادر ضده.
مساء الخير هل عقد محل حق انتفاع ينتيهي بموت المنتفع حتي لو كان العقد مكتوب فيه الي هلاك العقار,"وبصفة عامة، يمكن لصاحب العقار إعطاء حق الانتفاع لشخص آخر مابين 20 إلى 99 عاماً، وبعد انتهاء هذه الفترة، يستعيد صاحب العقار حقوقه الكاملة على العقار."
